ID,Inertia,Proactive,Flexibility
724,0.35,-0.08,-0.09
725,-0.43,-0.02,-0.09
726,-0.21,0.14,0.20
727,0.35,0.03,0.05
728,0.17,-0.14,0.11
729,0.83,-0.30,-0.12
730,-0.97,-0.31,-0.24
732,-0.15,-0.29,-0.07
733,-0.99,0.09,0.04
734,-0.21,-0.01,0.42
735,0.03,0.02,0.24
736,0.29,-0.37,-0.22
737,-0.01,-0.15,-0.39
739,-0.32,-0.10,0.23
741,0.03,0.18,0.25
742,-0.68,-0.07,-0.04
743,-0.91,-0.73,-0.14
744,-0.13,-0.25,-0.46
745,0.36,-0.23,-0.29
747,0.10,0.35,0.12
748,0.59,0.14,-0.24
749,-0.50,-0.42,-0.16
750,0.18,-0.29,-0.09
751,-0.44,-0.16,0.02
752,0.04,-0.05,0.10
753,-0.21,0.03,0.27
754,0.03,0.44,0.39
755,0.36,-0.13,-0.24
757,0.17,-0.04,0.23
759,-0.69,-0.09,0.24
760,0.78,-0.82,0.30
761,-0.44,-0.13,0.17
762,-0.45,-0.22,-0.03
765,0.53,-0.61,-0.13
766,-0.69,0.43,0.30
767,0.27,0.16,0.32
768,-0.32,-0.31,-0.25
769,0.37,0.01,-0.56
770,0.34,-0.17,0.13
771,-0.81,-0.03,0.04
772,0.03,0.18,0.48
773,-0.98,-0.46,-0.17
774,-0.16,0.19,0.09
775,-0.24,-0.29,-0.51
776,-0.79,0.34,0.04
777,0.04,-0.22,0.21
778,0.05,-0.41,-0.02
779,0.49,-0.34,-0.18
780,-0.30,0.30,-0.23
781,0.41,-0.38,0.18
782,0.97,0.09,-0.16
783,0.35,-0.58,0.08
784,0.11,-0.36,0.09
785,0.28,-0.19,0.21
786,-0.87,0.30,0.47
788,-0.28,0.32,0.40
789,-0.43,0.12,-0.17
790,-0.02,-0.58,0.06
791,-0.61,0.15,-0.02
792,-0.62,0.37,0.29
793,-0.07,-0.28,0.02
795,0.04,0.34,0.07
797,0.36,-0.61,-0.16
798,-0.44,-0.28,0.01
799,-0.14,0.17,0.18
803,0.04,0.22,0.06
804,-0.07,0.16,0.07
805,-0.14,0.23,0.16
806,-0.26,-0.10,-0.02
807,-0.13,-0.33,-0.11
808,-0.68,0.12,0.04
809,0.34,0.37,0.27
810,-0.84,-0.33,-0.32
811,0.49,0.09,-0.20
813,0.53,-0.34,0.00
814,-0.82,-0.41,0.33
815,-1.16,-0.29,-0.08
816,0.90,0.10,-0.08
817,0.30,-0.02,-0.53
818,-0.06,-0.47,-0.23
819,-0.61,-0.37,0.02
820,0.29,0.37,0.27
821,-0.92,-0.03,0.02
822,0.46,0.12,0.04
823,0.01,0.29,-0.30
